Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Question,Description
Question 19,question-19,63dfdf9f3700f04e88ce0ce4,63dfdfebd3e9be4639839f01,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What do you hope I will take away from our relationship when I am a parent myself?,
Question 2,question-2,63dfdf9f3700f04e88ce0ce4,63dfdfea10d0b96fdc558a19,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What are some of the values and traditions you want to pass on to me?,
Question 20,question-20,63dfdf9f3700f04e88ce0ce4,63dfdfeb47ab586befac6f4e,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),Can you tell me about a time when you needed support and how I helped you through it?,
Question 3,question-3,63dfdf9f3700f04e88ce0ce4,63dfdfeaa0956f355685d495,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What have you learned from being a parent?,
Question 4,question-4,63dfdf9f3700f04e88ce0ce4,63dfdfea3f86123fb0763f69,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What is one thing that you wish you had done differently as a parent?,
Question 5,question-5,63dfdf9f3700f04e88ce0ce4,63dfdfea1b4c081bd555c19b,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What are you most proud of in terms of my accomplishments and achievements?,
Question 6,question-6,63dfdf9f3700f04e88ce0ce4,63dfdfea0c95fc88ac254aaf,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),"What have been some of the challenges you faced while raising me, and how did you overcome them?",
Question 7,question-7,63dfdf9f3700f04e88ce0ce4,63dfdfea1b4c0823cb55c1a1,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),"What do you hope for my future, both personally and professionally?",
Question 8,question-8,63dfdf9f3700f04e88ce0ce4,63dfdfeaf46ebf3ea29cb97e,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),"Can you share a story about a time when you saw me exhibit qualities such as strength, resilience, or kindness?",
Question 9,question-9,63dfdf9f3700f04e88ce0ce4,63dfdfea1b4c082ee755c1a3,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),Can you tell me about a specific moment or event that has had a profound impact on you as a parent?,
